text,label,label_text,GPT_sentiment
"And he gets away with this. He will ruin America along with Paul Ryan, Steve Bannon, Mike Pence and all the others.…",0,negative,negative
@user @user @user Lets start local clapouts to support #NationalClapOut for #obama on January 19. #ThankYouObama @user #WhiteHouse,2,positive,positive
@user Translation: We need to suppress free speech & let govt decide what u read. SCOTUS wont let it happen. #1A #draintheswamp,0,negative,negative
"@user @user In NH, repugnants r trying to change same day voter registration law. Another example of voter suppression #Resist",1,neutral,negative
@user @user @user @user riiiight... because all those anti-Trump riots are his supporters.,1,neutral,negative
"@user And all of Obama's bombing and drone strikes had no effect, right? WHY IS THIS MORON ON TELEVISION?",0,negative,negative
@user @user too many morons out there. Ppl get ruffled when someone says something they don't agree with. Want an echo chamber,0,negative,negative
What is y'alls social security number? You know just to keep it safe for y'all just in case y'all forget... #4OUQA,1,neutral,neutral
@user I don't think you are. Conservative is different than fascist nazi,1,neutral,neutral
😂😂😂😂👏🏻👏🏻👏🏻💀 Whoever made this just made my day #blackfriday #thewalkingdead,2,positive,positive
. @user @user is a disgrace. Supported Wall St candidate. Whole career has been fraudulent.,0,negative,negative
A horse is a horse of course Unless that horse is forced to endorse The fascist Marine Le Pen.,0,negative,negative
@user @user Or why other civilised nations have incredibly tight gun control laws?,1,neutral,neutral
"Fearing North Korean dictator, China reportedly bans searches for 'Fatty Kim the Third':",0,negative,negative
Ask who wants new stuff and stop making it. Self serve check outs? NO! Self driving cars? NO. Mass unemployment? NO. Who benefits? #auspol,0,negative,negative
The best era  #3YearsofMidnightMemories #MPN #OneDirection #MtvStarsNiallHoran,2,positive,positive
latest shoot,1,neutral,neutral
"""TPP Grants Banks Terrifying Secret Powers"" on YouTube",2,positive,negative
the amount of times I've said hallo and imitated Melania Trump tonight is at an all time high ahahaha,2,positive,positive
@user @user Giving thanks on the corner of @user street -   #p2 #UniteBlue,1,neutral,neutral
"The #liberalelite cry about the kids getting killed by guns, but not so much for the kids killed by Obamas drone st…",0,negative,negative
Big Fun's jersey is going up to the rafters,1,neutral,positive
@user @user @user Obama got Nobel Prize for PEACE. And he's supposed to have authorised more drone strikes than Bush+,0,negative,negative
@user @user Also: you know which group has been trying to take a more holistic approach to education for decades? Leftists,1,neutral,positive
Late Thanksgiving Day selfie #happyholidays #notsweaterweather…,2,positive,positive
"#AllStar #KyleLowry Hoops, Revolution, Gold Standard 7 LOT AR #Basketball",1,neutral,neutral
Forbes Welcomehttps://t.co/WqplQX2Na8,2,positive,neutral
"Message @user @user phone off, shirt on... Mi Skansen",1,neutral,neutral
"I was personally opposed to the death penalty, and yet I think I have ... #JanetReno #citations",0,negative,neutral
I had steak n shake yesterday so I guess I celebrated...lol #Clueless  #NationalFastFoodDay,2,positive,neutral
"""But now, I just want to wish you a very good journey. Goodbye old friend."" via @user",2,positive,neutral
#BlackLivesMatter..blocking access to white owned stores?..in 1933 Nazis boycotted Jewish owned stores..didn't know there were kaffir Nazis.,0,negative,negative
Melania short circuiting during a televised speech.  #KeepsTrumpUpAtNight,0,negative,negative
Jacob #Israel on how you are really not here right now. #Bibi #Yelev #Jerusalem #Blackfriday,1,neutral,neutral
"Having learned from Brexit first & then Trumps win,the Italians have realised what's at stake,as the world awakens…",1,neutral,positive
"@user but now the white supremacists get to play the victim card, because the system actually *was* rigged",0,negative,negative
Select Your Artist Of The Day 👇#JustinBieber #OneDirection #OneRepublic #ShawnMendes#freetv | freq. 11900V,1,neutral,neutral
"Venezuela: Maduro calls for ""rebellion of Venezuelan women"": Thousands of people took the streets of Caracas on…",1,neutral,neutral
This will settle it once and for all... #NationalFastFoodDay,2,positive,neutral
Deep Learning for Visual Question Answering (VAQ) using KerasA really nice blog post by @user,1,neutral,positive
Prepare to be enlightened!  #TrumpWon #TrumpTransitionTeam @user,2,positive,positive
This might be single most compelling argument against Steve Bannon👇🏾,1,neutral,negative
"@user hahah D, I am missing your stories this thanksgiving so I had to hear jokes from someone else!",1,neutral,positive
galaxy allo dictionary of garbage note 7 fire ios exynos 🍆 🍆,0,negative,negative
@user @user   funny aly  huge  crush zac efron,2,positive,positive
Chinese websites block searches for ‘Fatty Kim the Third’,1,neutral,neutral
"@user @user This is Hillary being vindictive.  Meanwhile, Trump's transition is going well.",1,neutral,negative
#Uber #rolls out new #features in its #rider and #driver #app,2,positive,neutral
"😻@jenniferbeals YAY,#LoveTrumpsAll!💗This warms my soul when I needed it the most...now am I just CRAZY to hope Electoral College pulls thru?",2,positive,positive
